text,herb_name,should_preserve,expected_tokens
benefits of ginger,ginger,True,"['benefits', 'of', 'ginger']"
ginger uses,ginger,True,"['ginger', 'uses']"
ginger properties,ginger,True,"['ginger', 'properties']"
what is ginger,ginger,True,"['what', 'is', 'ginger']"
how does ginger work,ginger,True,"['how', 'does', 'ginger', 'work']"
ginger for health,ginger,True,"['ginger', 'for', 'health']"
medicinal ginger,ginger,True,"['medicinal', 'ginger']"
therapeutic ginger,ginger,True,"['therapeutic', 'ginger']"
ginger benefits and uses,ginger,True,"['ginger', 'benefits', 'and', 'uses']"
traditional use of ginger,ginger,True,"['traditional', 'use', 'of', 'ginger']"
benefits of turmeric,turmeric,True,"['benefits', 'of', 'turmeric']"
turmeric uses,turmeric,True,"['turmeric', 'uses']"
turmeric properties,turmeric,True,"['turmeric', 'properties']"
what is turmeric,turmeric,True,"['what', 'is', 'turmeric']"
how does turmeric work,turmeric,True,"['how', 'does', 'turmeric', 'work']"
turmeric for health,turmeric,True,"['turmeric', 'for', 'health']"
medicinal turmeric,turmeric,True,"['medicinal', 'turmeric']"
therapeutic turmeric,turmeric,True,"['therapeutic', 'turmeric']"
turmeric benefits and uses,turmeric,True,"['turmeric', 'benefits', 'and', 'uses']"
traditional use of turmeric,turmeric,True,"['traditional', 'use', 'of', 'turmeric']"
benefits of cinnamon,cinnamon,True,"['benefits', 'of', 'cinnamon']"
cinnamon uses,cinnamon,True,"['cinnamon', 'uses']"
cinnamon properties,cinnamon,True,"['cinnamon', 'properties']"
what is cinnamon,cinnamon,True,"['what', 'is', 'cinnamon']"
how does cinnamon work,cinnamon,True,"['how', 'does', 'cinnamon', 'work']"
cinnamon for health,cinnamon,True,"['cinnamon', 'for', 'health']"
medicinal cinnamon,cinnamon,True,"['medicinal', 'cinnamon']"
therapeutic cinnamon,cinnamon,True,"['therapeutic', 'cinnamon']"
cinnamon benefits and uses,cinnamon,True,"['cinnamon', 'benefits', 'and', 'uses']"
traditional use of cinnamon,cinnamon,True,"['traditional', 'use', 'of', 'cinnamon']"
benefits of cardamom,cardamom,True,"['benefits', 'of', 'cardamom']"
cardamom uses,cardamom,True,"['cardamom', 'uses']"
cardamom properties,cardamom,True,"['cardamom', 'properties']"
what is cardamom,cardamom,True,"['what', 'is', 'cardamom']"
how does cardamom work,cardamom,True,"['how', 'does', 'cardamom', 'work']"
cardamom for health,cardamom,True,"['cardamom', 'for', 'health']"
medicinal cardamom,cardamom,True,"['medicinal', 'cardamom']"
therapeutic cardamom,cardamom,True,"['therapeutic', 'cardamom']"
cardamom benefits and uses,cardamom,True,"['cardamom', 'benefits', 'and', 'uses']"
traditional use of cardamom,cardamom,True,"['traditional', 'use', 'of', 'cardamom']"
benefits of fenugreek,fenugreek,True,"['benefits', 'of', 'fenugreek']"
fenugreek uses,fenugreek,True,"['fenugreek', 'uses']"
fenugreek properties,fenugreek,True,"['fenugreek', 'properties']"
what is fenugreek,fenugreek,True,"['what', 'is', 'fenugreek']"
how does fenugreek work,fenugreek,True,"['how', 'does', 'fenugreek', 'work']"
fenugreek for health,fenugreek,True,"['fenugreek', 'for', 'health']"
medicinal fenugreek,fenugreek,True,"['medicinal', 'fenugreek']"
therapeutic fenugreek,fenugreek,True,"['therapeutic', 'fenugreek']"
fenugreek benefits and uses,fenugreek,True,"['fenugreek', 'benefits', 'and', 'uses']"
traditional use of fenugreek,fenugreek,True,"['traditional', 'use', 'of', 'fenugreek']"
benefits of ashwagandha,ashwagandha,True,"['benefits', 'of', 'ashwagandha']"
ashwagandha uses,ashwagandha,True,"['ashwagandha', 'uses']"
ashwagandha properties,ashwagandha,True,"['ashwagandha', 'properties']"
what is ashwagandha,ashwagandha,True,"['what', 'is', 'ashwagandha']"
how does ashwagandha work,ashwagandha,True,"['how', 'does', 'ashwagandha', 'work']"
ashwagandha for health,ashwagandha,True,"['ashwagandha', 'for', 'health']"
medicinal ashwagandha,ashwagandha,True,"['medicinal', 'ashwagandha']"
therapeutic ashwagandha,ashwagandha,True,"['therapeutic', 'ashwagandha']"
ashwagandha benefits and uses,ashwagandha,True,"['ashwagandha', 'benefits', 'and', 'uses']"
traditional use of ashwagandha,ashwagandha,True,"['traditional', 'use', 'of', 'ashwagandha']"
benefits of brahmi,brahmi,True,"['benefits', 'of', 'brahmi']"
brahmi uses,brahmi,True,"['brahmi', 'uses']"
brahmi properties,brahmi,True,"['brahmi', 'properties']"
what is brahmi,brahmi,True,"['what', 'is', 'brahmi']"
how does brahmi work,brahmi,True,"['how', 'does', 'brahmi', 'work']"
brahmi for health,brahmi,True,"['brahmi', 'for', 'health']"
medicinal brahmi,brahmi,True,"['medicinal', 'brahmi']"
therapeutic brahmi,brahmi,True,"['therapeutic', 'brahmi']"
brahmi benefits and uses,brahmi,True,"['brahmi', 'benefits', 'and', 'uses']"
traditional use of brahmi,brahmi,True,"['traditional', 'use', 'of', 'brahmi']"
benefits of shankhpushpi,shankhpushpi,True,"['benefits', 'of', 'shankhpushpi']"
shankhpushpi uses,shankhpushpi,True,"['shankhpushpi', 'uses']"
shankhpushpi properties,shankhpushpi,True,"['shankhpushpi', 'properties']"
what is shankhpushpi,shankhpushpi,True,"['what', 'is', 'shankhpushpi']"
how does shankhpushpi work,shankhpushpi,True,"['how', 'does', 'shankhpushpi', 'work']"
shankhpushpi for health,shankhpushpi,True,"['shankhpushpi', 'for', 'health']"
medicinal shankhpushpi,shankhpushpi,True,"['medicinal', 'shankhpushpi']"
therapeutic shankhpushpi,shankhpushpi,True,"['therapeutic', 'shankhpushpi']"
shankhpushpi benefits and uses,shankhpushpi,True,"['shankhpushpi', 'benefits', 'and', 'uses']"
traditional use of shankhpushpi,shankhpushpi,True,"['traditional', 'use', 'of', 'shankhpushpi']"
benefits of guduchi,guduchi,True,"['benefits', 'of', 'guduchi']"
guduchi uses,guduchi,True,"['guduchi', 'uses']"
guduchi properties,guduchi,True,"['guduchi', 'properties']"
what is guduchi,guduchi,True,"['what', 'is', 'guduchi']"
how does guduchi work,guduchi,True,"['how', 'does', 'guduchi', 'work']"
guduchi for health,guduchi,True,"['guduchi', 'for', 'health']"
medicinal guduchi,guduchi,True,"['medicinal', 'guduchi']"
therapeutic guduchi,guduchi,True,"['therapeutic', 'guduchi']"
guduchi benefits and uses,guduchi,True,"['guduchi', 'benefits', 'and', 'uses']"
traditional use of guduchi,guduchi,True,"['traditional', 'use', 'of', 'guduchi']"
benefits of triphala,triphala,True,"['benefits', 'of', 'triphala']"
triphala uses,triphala,True,"['triphala', 'uses']"
