text,label
"Paneer and peas served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"and energizing, pepper, and lemon. Warming, dry, Cabbage stir-fry made light and lively with ginger, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Root vegetable stew served warm with gentle spices and a touch of natural sweetness. Soft, moist, it grounds restlessness, and comforting, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Roasted fennel prepared mild and cooling with mint, fennel, or coconut. Light, it eases inner heat and intensity, and refreshing, mildly sweet, settling irritability while staying easy to digest, perfect for hot afternoo",Pitta
"Chili-lime cucumber (light) made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow morn",Kapha
"Mustard greens curry made unheavy and lively with ginger, pepper, and lemon. Warming, light-dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mor",Kapha
"Spiced vegetable soup made airy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Carom seed tea made airy and lively with ginger, pepper, awakens appetite, dry, and energizing, it cuts heaviness and dampness, and lemon. Warming, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. Feels br",Kapha
"and lemon. Warming, pepper, Rasam with cumin made airy and lively with ginger, dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Soft idli with ghee served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Sprouted moong salad made airy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, and lifts sluggish moods—a bright pick‑me‑up for slow mornings., awakens appetite, it cuts heaviness and dampness",Kapha
"Creamy lentil dal served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy",Vata
"Radish stir-fry made light and lively with ginger, pepper, and lemon. Warming, it cuts sluggishness and dampness, and energizing, dry, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. Gre",Kapha
"Coriander cooler prepared mild and cooling with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Roasted beet soup served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Apple mint chutney prepared mild and refreshing with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot a",Pitta
"Golden milk served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Aloe vera drink prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, perfect for hot afternoons., it eases inner fire and intensity, settling irritability while staying easy to digest, and refreshing",Pitta
"Mint coriander chutney prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afterno",Pitta
"Cilantro-mint quinoa prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot aftern",Pitta
"Mint lemonade prepared mild and cooling with mint, fennel, and refreshing, sweet, or coconut. Light, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Cilantro lime rice prepared mild and soothing-cool with mint, fennel, and refreshing, sweet, or coconut. Light, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Green bean saute (mild) prepared mild and soothing-cool with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for",Pitta
"Coconut rice prepared mild and refreshing with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Black pepper rasam made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Mint lemonade prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Masala oats (dry) made airy and lively with ginger, pepper, and energizing, dry, and lemon. Warming, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Black pepper rasam made unheavy and lively with ginger, and lifts sluggish moods—a bright pick‑me‑up for slow mornings., and lemon. Warming, non-oily, and energizing, it cuts heaviness and dampness, awakens appetite, pep",Kapha
"Khichdi with ghee served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Pear and cucumber salad prepared mild and soothing-cool with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perf",Pitta
"Khichdi with ghee served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, scat, and supports smooth digestion—ideal for cool breezes or busy",Vata
"Cabbage stir-fry (mild) prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot aftern",Pitta
"Light paneer salad prepared mild and soothing-cool with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot after",Pitta
"Creamy polenta served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scatter",Vata
"Cilantro lime rice prepared mild and soothing-cool with mint, it eases inner intensity and intensity, or coconut. Light, sweet, and refreshing, fennel, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
