text,label,confidence,herb,symptom,topic
how does kharbhuja help,herb_benefits,1.0,kharbhuja,,
sudden diabetes,disease_prediction,1.0,,diabetes,
learning circulation,general_info,1.0,,,circulation
diagnosis of cough,disease_prediction,1.0,,cough,
alternative medicine for night sweats,disease_prediction,1.0,,night sweats,
best medicine for wounds,disease_prediction,1.0,,wounds,
mahishi dugdha for natural healing,herb_benefits,1.0,mahishi dugdha,,
explain pranayama,general_info,1.0,,,pranayama
overview of pranayama,general_info,1.0,,,pranayama
chronic acidity,disease_prediction,1.0,,acidity,
persistent fever,disease_prediction,1.0,,fever,
explain holistic health,general_info,1.0,,,holistic health
renuka medicinal uses,herb_benefits,1.0,renuka,,
managing asthma,disease_prediction,1.0,,asthma,
cures for asthma,disease_prediction,1.0,,asthma,
what does vaiswanara churna do,herb_benefits,1.0,vaiswanara churna,,
significance of ojas,general_info,1.0,,,ojas
define malas,general_info,1.0,,,malas
guide to prakriti,general_info,1.0,,,prakriti
science behind srotas,general_info,1.0,,,srotas
benefits and uses of badama taila,herb_benefits,1.0,badama taila,,
medicinal effects of dhatupaushtik churna,herb_benefits,1.0,dhatupaushtik churna,,
explain cleansing,general_info,1.0,,,cleansing
sleep disorders treatment,disease_prediction,1.0,,sleep disorders,
therapeutic effects of ajmoda,herb_benefits,1.0,ajmoda,,
natural treatment for vomiting,disease_prediction,1.0,,vomiting,
properties of phalatrikadi kwath,herb_benefits,1.0,phalatrikadi kwath,,
uses of arka,herb_benefits,1.0,arka,,
how does madhusnuhi rasayana help,herb_benefits,1.0,madhusnuhi rasayana,,
constant abdominal pain,disease_prediction,1.0,,abdominal pain,
health benefits of kalyanaka ghrita,herb_benefits,1.0,kalyanaka ghrita,,
how does caturjata churna help,herb_benefits,1.0,caturjata churna,,
therapeutic value of marichyadi vati,herb_benefits,1.0,marichyadi vati,,
tell me about withania,herb_benefits,1.0,withania,,
herbal properties of panchakola churna,herb_benefits,1.0,panchakola churna,,
best medicine for low energy,disease_prediction,1.0,,low energy,
ama art,general_info,1.0,,,ama
uses of navayasa loha,herb_benefits,1.0,navayasa loha,,
understand prabhava,general_info,1.0,,,prabhava
holistic treatments for hypertension,disease_prediction,1.0,,hypertension,
examining ayurveda,general_info,1.0,,,ayurveda
controlling gastritis,disease_prediction,1.0,,gastritis,
role of constitution,general_info,1.0,,,constitution
