Symptom,Remedy,Treatment,Dosha
Headache,Ginger tea,Drink warm ginger tea twice daily,Vata
Fever,Turmeric milk,Take turmeric with milk before bed,Pitta
Cough,Honey and lemon,Gargle with honey-lemon water,Kapha
Cold,Tulsi leaves,Chew fresh tulsi leaves,Tridoshic
Stomach pain,Ajwain water,Drink ajwain water after meals,Vata
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Pitta
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Kapha
Anxiety,Brahmi,Use brahmi oil for head massage,Tridoshic
Fatigue,Triphala,Take triphala churna at night,Vata
Nausea,Mint tea,Drink fresh mint tea,Pitta
Constipation,Fennel seeds,Chew fennel seeds after meals,Kapha
Diarrhea,Cumin water,Drink cumin water on empty stomach,Tridoshic
Acidity,Aloe vera juice,Take aloe vera juice in morning,Vata
Bloating,Cardamom tea,Drink cardamom tea,Pitta
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Kapha
Headache,Ginger tea,Drink warm ginger tea twice daily,Tridoshic
Fever,Turmeric milk,Take turmeric with milk before bed,Vata
Cough,Honey and lemon,Gargle with honey-lemon water,Pitta
Cold,Tulsi leaves,Chew fresh tulsi leaves,Kapha
Stomach pain,Ajwain water,Drink ajwain water after meals,Tridoshic
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Vata
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Pitta
Anxiety,Brahmi,Use brahmi oil for head massage,Kapha
Fatigue,Triphala,Take triphala churna at night,Tridoshic
Nausea,Mint tea,Drink fresh mint tea,Vata
Constipation,Fennel seeds,Chew fennel seeds after meals,Pitta
Diarrhea,Cumin water,Drink cumin water on empty stomach,Kapha
Acidity,Aloe vera juice,Take aloe vera juice in morning,Tridoshic
Bloating,Cardamom tea,Drink cardamom tea,Vata
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Pitta
Headache,Ginger tea,Drink warm ginger tea twice daily,Kapha
Fever,Turmeric milk,Take turmeric with milk before bed,Tridoshic
Cough,Honey and lemon,Gargle with honey-lemon water,Vata
Cold,Tulsi leaves,Chew fresh tulsi leaves,Pitta
Stomach pain,Ajwain water,Drink ajwain water after meals,Kapha
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Tridoshic
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Vata
Anxiety,Brahmi,Use brahmi oil for head massage,Pitta
Fatigue,Triphala,Take triphala churna at night,Kapha
Nausea,Mint tea,Drink fresh mint tea,Tridoshic
Constipation,Fennel seeds,Chew fennel seeds after meals,Vata
Diarrhea,Cumin water,Drink cumin water on empty stomach,Pitta
Acidity,Aloe vera juice,Take aloe vera juice in morning,Kapha
Bloating,Cardamom tea,Drink cardamom tea,Tridoshic
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Vata
Headache,Ginger tea,Drink warm ginger tea twice daily,Pitta
Fever,Turmeric milk,Take turmeric with milk before bed,Kapha
Cough,Honey and lemon,Gargle with honey-lemon water,Tridoshic
Cold,Tulsi leaves,Chew fresh tulsi leaves,Vata
Stomach pain,Ajwain water,Drink ajwain water after meals,Pitta
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Kapha
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Tridoshic
Anxiety,Brahmi,Use brahmi oil for head massage,Vata
Fatigue,Triphala,Take triphala churna at night,Pitta
Nausea,Mint tea,Drink fresh mint tea,Kapha
Constipation,Fennel seeds,Chew fennel seeds after meals,Tridoshic
Diarrhea,Cumin water,Drink cumin water on empty stomach,Vata
Acidity,Aloe vera juice,Take aloe vera juice in morning,Pitta
Bloating,Cardamom tea,Drink cardamom tea,Kapha
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Tridoshic
Headache,Ginger tea,Drink warm ginger tea twice daily,Vata
Fever,Turmeric milk,Take turmeric with milk before bed,Pitta
Cough,Honey and lemon,Gargle with honey-lemon water,Kapha
Cold,Tulsi leaves,Chew fresh tulsi leaves,Tridoshic
Stomach pain,Ajwain water,Drink ajwain water after meals,Vata
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Pitta
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Kapha
Anxiety,Brahmi,Use brahmi oil for head massage,Tridoshic
Fatigue,Triphala,Take triphala churna at night,Vata
Nausea,Mint tea,Drink fresh mint tea,Pitta
Constipation,Fennel seeds,Chew fennel seeds after meals,Kapha
Diarrhea,Cumin water,Drink cumin water on empty stomach,Tridoshic
Acidity,Aloe vera juice,Take aloe vera juice in morning,Vata
Bloating,Cardamom tea,Drink cardamom tea,Pitta
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Kapha
Headache,Ginger tea,Drink warm ginger tea twice daily,Tridoshic
Fever,Turmeric milk,Take turmeric with milk before bed,Vata
Cough,Honey and lemon,Gargle with honey-lemon water,Pitta
Cold,Tulsi leaves,Chew fresh tulsi leaves,Kapha
Stomach pain,Ajwain water,Drink ajwain water after meals,Tridoshic
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Vata
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Pitta
Anxiety,Brahmi,Use brahmi oil for head massage,Kapha
Fatigue,Triphala,Take triphala churna at night,Tridoshic
Nausea,Mint tea,Drink fresh mint tea,Vata
Constipation,Fennel seeds,Chew fennel seeds after meals,Pitta
Diarrhea,Cumin water,Drink cumin water on empty stomach,Kapha
Acidity,Aloe vera juice,Take aloe vera juice in morning,Tridoshic
Bloating,Cardamom tea,Drink cardamom tea,Vata
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Pitta
Headache,Ginger tea,Drink warm ginger tea twice daily,Kapha
Fever,Turmeric milk,Take turmeric with milk before bed,Tridoshic
Cough,Honey and lemon,Gargle with honey-lemon water,Vata
Cold,Tulsi leaves,Chew fresh tulsi leaves,Pitta
Stomach pain,Ajwain water,Drink ajwain water after meals,Kapha
Joint pain,Sesame oil massage,Apply warm sesame oil massage,Tridoshic
Insomnia,Ashwagandha,Take ashwagandha powder with milk,Vata
Anxiety,Brahmi,Use brahmi oil for head massage,Pitta
Fatigue,Triphala,Take triphala churna at night,Kapha
Nausea,Mint tea,Drink fresh mint tea,Tridoshic
Constipation,Fennel seeds,Chew fennel seeds after meals,Vata
Diarrhea,Cumin water,Drink cumin water on empty stomach,Pitta
Acidity,Aloe vera juice,Take aloe vera juice in morning,Kapha
Bloating,Cardamom tea,Drink cardamom tea,Tridoshic
Indigestion,Coriander seeds,Boil coriander seeds in water and drink,Vata
Headache,Ginger tea,Drink warm ginger tea twice daily,Pitta
