Herb_Name,Scientific_Name,Common_Names,Benefits,Side_Effects,Contraindications,Drug_Interactions,Dosage,Traditional_Uses,Rasa,Virya,Vipaka,Dosha_Effects,Safety_Level
Ashwagandha,Withania somnifera,"Winter cherry, Indian ginseng","Reduces stress and anxiety, Improves strength and stamina, Supports immune system, Enhances cognitive function, Balances hormones, Improves sleep quality","Generally safe, May cause drowsiness, Stomach upset in high doses, May lower blood pressure","Pregnancy, Breastfeeding, Autoimmune diseases, Surgery (2 weeks before)","May interact with sedatives, immunosuppressants, blood pressure medications, diabetes medications","3-6g powder daily, 300-500mg extract twice daily","Stress management, Strength building, Reproductive health, Nervous system support","Tikta (bitter), Kashaya (astringent)",Ushna (hot),Madhura (sweet),"Balances Vata and Kapha, May increase Pitta",High
Turmeric,Curcuma longa,"Haldi, Golden spice","Anti-inflammatory, Antioxidant, Supports liver health, Aids digestion, Wound healing, Joint health, Immune support","Generally safe, May cause stomach upset, Increased bleeding risk, Kidney stones in high doses","Gallstones, Bleeding disorders, Surgery (2 weeks before), Iron deficiency","Blood thinners (warfarin), Diabetes medications, Chemotherapy drugs","1-3g powder daily, 400-600mg extract 3 times daily","Inflammation, Wound healing, Digestive disorders, Skin conditions","Tikta (bitter), Katu (pungent)",Ushna (hot),Katu (pungent),"Balances all three doshas, primarily Kapha and Vata",High
Ginger,Zingiber officinale,"Adrak, Fresh ginger","Aids digestion, Reduces nausea, Anti-inflammatory, Supports respiratory health, Warming effect, Motion sickness relief","Generally safe, May cause heartburn, Stomach irritation, Increased bleeding risk","Gallstones, Bleeding disorders, High doses during pregnancy","Blood thinners (warfarin), Diabetes medications, Heart medications","1-4g fresh daily, 250mg extract 4 times daily","Digestive disorders, Nausea, Cold and cough, Arthritis","Katu (pungent)",Ushna (hot),Madhura (sweet),"Balances Vata and Kapha, May increase Pitta",High
Brahmi,Bacopa monnieri,"Water hyssop, Thyme-leaved gratiola","Enhances memory, Reduces anxiety, Supports cognitive function, Neuroprotective, Improves concentration","Generally safe, May cause nausea, Stomach cramps, Fatigue, Dry mouth","Pregnancy, Breastfeeding, Bradycardia, Ulcers","May interact with sedatives, thyroid medications, anticholinergic drugs","300-600mg extract daily, 5-10g fresh herb","Memory enhancement, Anxiety, Learning disorders, Epilepsy","Tikta (bitter), Kashaya (astringent)",Sheeta (cold),Madhura (sweet),"Balances all three doshas, primarily Vata",High
Neem,Azadirachta indica,"Margosa, Indian lilac","Antibacterial, Antifungal, Blood purifier, Skin health, Immune support, Dental health","Generally safe externally, Internal use may cause nausea, Liver toxicity in high doses","Pregnancy, Breastfeeding, Children under 12, Liver disease","May interact with diabetes medications, immunosuppressants","External use as needed, Internal: 1-2g powder daily (short term)","Skin diseases, Dental care, Infections, Blood purification","Tikta (bitter), Kashaya (astringent)",Sheeta (cold),Katu (pungent),"Balances Pitta and Kapha, May increase Vata",Medium
Amla,Emblica officinalis,"Indian gooseberry, Amalaki","High in Vitamin C, Antioxidant, Supports immune system, Hair and skin health, Digestive health, Anti-aging","Generally safe, May cause acidity in some, Diarrhea in high doses","None known, Generally safe for all","May enhance absorption of iron, May interact with anticoagulants","10-20ml juice daily, 1-3g powder daily","Immunity, Hair care, Digestive health, Anti-aging, Eye health","Amla (sour), Madhura (sweet), Tikta (bitter), Katu (pungent), Kashaya (astringent)",Sheeta (cold),Madhura (sweet),"Balances all three doshas, Tridoshic",High
Tulsi,Ocimum tenuiflorum,"Holy basil, Sacred basil","Adaptogen, Respiratory health, Immune support, Stress relief, Antimicrobial, Anti-inflammatory","Generally safe, May lower blood sugar, May affect fertility","Pregnancy (large amounts), Blood clotting disorders","May interact with diabetes medications, blood thinners","5-10 leaves daily, 300-600mg extract","Respiratory infections, Stress, Fever, Cough, Spiritual practices","Katu (pungent), Tikta (bitter)",Ushna (hot),Katu (pungent),"Balances Kapha and Vata, May increase Pitta",High
Triphala,Terminalia chebula + Terminalia bellirica + Emblica officinalis,"Three fruits combination","Digestive health, Detoxification, Antioxidant, Eye health, Weight management, Bowel regularity","Generally safe, May cause diarrhea initially, Stomach upset","Pregnancy, Breastfeeding, Diarrhea, Dehydration","May interact with diabetes medications, blood thinners","3-6g powder daily, 500-1000mg tablets","Constipation, Digestive disorders, Detoxification, Eye health","Combination of all tastes",Neutral,Madhura (sweet),"Balances all three doshas, Tridoshic",High
Guggul,Commiphora mukul,"Indian bdellium, Mukul myrrh","Cholesterol management, Weight management, Anti-inflammatory, Joint health, Thyroid support","May cause skin rash, Stomach upset, Headache, Nausea","Pregnancy, Breastfeeding, Liver disease, Kidney disease","Thyroid medications, blood thinners, diabetes medications","500-1000mg extract daily","High cholesterol, Arthritis, Obesity, Skin diseases","Tikta (bitter), Katu (pungent)",Ushna (hot),Katu (pungent),"Balances Kapha and Vata, May increase Pitta",Medium
Shatavari,Asparagus racemosus,"Wild asparagus, Hundred husbands","Female reproductive health, Hormonal balance, Digestive health, Immune support, Lactation support","Generally safe, May cause allergic reactions in asparagus-sensitive individuals","Kidney stones, Estrogen-sensitive conditions","May interact with diuretics, lithium","3-6g powder daily, 500mg extract twice daily","Female fertility, Menopause, Lactation, Digestive disorders","Madhura (sweet), Tikta (bitter)",Sheeta (cold),Madhura (sweet),"Balances Vata and Pitta, May increase Kapha",High
