text,herb,benefits,label
benefits of tulsi,tulsi,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",herb_benefits_tulsi
tulsi for rasayan,tulsi,tulsi is beneficial for rasayan,herb_benefits_rasayan
tulsi for krimighna,tulsi,tulsi is beneficial for krimighna,herb_benefits_krimighna
tulsi for kasahara,tulsi,tulsi is beneficial for kasahara,herb_benefits_kasahara
tulsi for shoolaghna,tulsi,tulsi is beneficial for shoolaghna,herb_benefits_shoolaghna
what is tulsi used for,tulsi,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",herb_benefits_tulsi
how to use tulsi,tulsi,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",herb_benefits_tulsi
tulsi medicinal properties,tulsi,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",herb_benefits_tulsi
tulsi health benefits,tulsi,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",herb_benefits_tulsi
therapeutic effects of tulsi,tulsi,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",herb_benefits_tulsi
benefits of amla,amla,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",herb_benefits_amla
amla for rasayan,amla,amla is beneficial for rasayan,herb_benefits_rasayan
amla for chakshushya,amla,amla is beneficial for chakshushya,herb_benefits_chakshushya
amla for hridaya,amla,amla is beneficial for hridaya,herb_benefits_hridaya
amla for deepana,amla,amla is beneficial for deepana,herb_benefits_deepana
what is amla used for,amla,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",herb_benefits_amla
how to use amla,amla,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",herb_benefits_amla
amla medicinal properties,amla,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",herb_benefits_amla
amla health benefits,amla,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",herb_benefits_amla
therapeutic effects of amla,amla,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",herb_benefits_amla
benefits of ashwagandha,ashwagandha,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",herb_benefits_ashwagandha
